form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
biate029,mu,2.sg.3.pl.fut.aff,muŋ ni ti,Σ ni ti,Σ+ŋ+ni+ti,Σ ŋ n i t i,Σ + ŋ + n i + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate030,mu,2.pl.3.sg.fut.aff,muŋ nin ti,Σ nin ti,Σ+ŋ+ni+n+ti,Σ ŋ n i n t i,Σ + ŋ + n i + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate031,mu,2.pl.3.pl.fut.aff,muŋ nin ti,Σ nin ti,Σ+ŋ+ni+n+ti,Σ ŋ n i n t i,Σ + ŋ + n i + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate032,fe,3.sg.fut.aff,feŋ a ti,Σ a ti,Σ+ŋ+a+ti,Σ ŋ a t i,Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate033,fe,3.pl.fut.aff,feŋ an ti,Σ an ti,Σ+ŋ+an+ti,Σ ŋ a n t i,Σ + ŋ + a n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate034,mu,3.sg.1.sg.fut.aff,ne muŋ a ti,ne Σ a ti,ne+Σ+ŋ+a+ti,n e Σ ŋ a t i,n e + Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate035,mu,3.sg.1.pl.excl.fut.aff,ne muŋ a ti,ne Σ a ti,ne+Σ+ŋ+a+ti,n e Σ ŋ a t i,n e + Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate036,mu,3.sg.1.pl.excl.fut.aff,ne muŋ a ti,ne Σ a ti,ne+Σ+ŋ+a+ti,n e Σ ŋ a t i,n e + Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate037,mu,3.sg.1.pl.incl.fut.aff,ne muŋ a ti,ne Σ a ti,ne+Σ+ŋ+a+ti,n e Σ ŋ a t i,n e + Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate038,mu,3.sg.1.pl.incl.fut.aff,ne muŋ a ti,ne Σ a ti,ne+Σ+ŋ+a+ti,n e Σ ŋ a t i,n e + Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
